step,episodes,mean_reward,goal_rate_pct,total_pass_completed,total_goals,total_turnovers
10240,335,0.0021,2.00,156,70,1270
20480,631,0.0242,2.00,156,70,1270
30720,908,-0.0107,0.00,156,70,1270
40960,1074,0.0352,2.00,156,70,1270
51200,1286,-0.0002,0.00,156,70,1270
61440,1426,0.0864,2.00,156,70,1270
71680,1501,0.0849,2.00,156,70,1270
81920,1713,0.1281,4.00,156,70,1270
92160,1890,0.0229,0.00,156,70,1270
102400,2031,0.1488,6.00,156,70,1270
112640,2267,0.0502,2.00,156,70,1270
122880,2464,0.0784,2.00,156,70,1270
133120,2584,0.0307,0.00,156,70,1270
143360,2726,0.0907,2.00,156,70,1270
153600,2856,0.1036,2.00,156,70,1270
163840,2994,0.0548,0.00,156,70,1270
174080,3113,0.0463,0.00,156,70,1270
184320,3226,0.0856,2.00,156,70,1270
194560,3376,0.1048,2.00,156,70,1270
