run_id,episode_id,seed,tick,action_source,action_selected,forced_action,pre_ball_pos_x,pre_ball_pos_y,pre_ball_pos_z,pre_ball_vel_x,pre_ball_vel_y,pre_ball_vel_z,pre_owner_id,pre_teammate_1_x,pre_teammate_1_y,pre_teammate_2_x,pre_teammate_2_y,pre_pass_direction_x,pre_pass_direction_y,post_event_code,post_event_name,post_ball_pos_x,post_ball_pos_y,post_ball_pos_z,post_ball_vel_x,post_ball_vel_y,post_ball_vel_z,post_owner_id,post_last_kicked_by,post_teammate_1_x,post_teammate_1_y,post_teammate_1_vel_x,post_teammate_1_vel_y,post_teammate_2_x,post_teammate_2_y,post_teammate_2_vel_x,post_teammate_2_vel_y,mask_sum,pass_legal,shot_legal,has_ball,reward,terminated,truncated
pass_diag_2026-09-18,0,999,0,forced,7,11,0.24699057638645172,0.013477941043674946,0.0,0.0,0.0,0.0,left_1,0.4456634223461151,-0.212310329079628,0.4047645330429077,0.22799386084079742,0.5850031370491735,0.8110310287791866,5,pass,0.27307504415512085,0.04894343763589859,0.0,75.51451110839844,102.67261505126953,0.0,,,0.4456634223461151,-0.20879033207893372,0.0,0.211200008392334,0.4047645330429077,0.2315138578414917,0.0,0.211200008392334,15,0,0,False,-0.005,False,False
pass_diag_2026-09-18,0,999,1,policy,18,,,,,,,,,,,,,,,0,,0.2982465326786041,0.08316764235496521,0.0,72.87150573730469,99.0790786743164,0.0,,,0.4456634223461151,-0.20263032615184784,0.0,0.36959999084472656,0.4047645330429077,0.23767386376857758,0.0,0.36959999084472656,15,0,0,False,-0.005706,False,False
pass_diag_2026-09-18,0,999,2,policy,18,,,,,,,,,,,,,,,0,,0.32253703474998474,0.11619400233030319,0.0,70.32099914550781,95.6113052368164,0.0,,,0.4456634223461151,-0.19449032843112946,0.0,0.4884000015258789,0.4047645330429077,0.24581386148929596,0.0,0.4884000015258789,15,0,0,False,-0.005471,False,False
pass_diag_2026-09-18,0,999,3,policy,18,,,,,,,,,,,,,,,0,,0.34597739577293396,0.14806443452835083,0.0,67.8597640991211,92.2649154663086,0.0,,,0.4456634223461151,-0.1848653256893158,0.0,0.5775,0.4047645330429077,0.2554388642311096,0.0,0.5775,15,0,0,False,-0.004378,False,False
pass_diag_2026-09-18,0,999,4,policy,18,,,,,,,,,,,,,,,0,,0.3685972988605499,0.17881940305233002,0.0,65.48467254638672,89.03563690185547,0.0,,,0.4456634223461151,-0.17412658035755157,0.0,0.6443250274658203,0.4047645330429077,0.26617759466171265,0.0,0.6443250274658203,15,0,0,False,-0.004443,False,False
pass_diag_2026-09-18,0,999,5,policy,18,,,,,,,,,,,,,,,0,,0.39042553305625916,0.20849795639514923,0.0,63.192710876464844,85.91939544677734,0.0,,,0.4456634223461151,-0.16255250573158264,0.0,0.6944437408447266,0.4047645330429077,0.2777516841888428,0.0,0.6944437408447266,15,0,0,False,-0.004523,False,False
pass_diag_2026-09-18,0,999,6,policy,18,,,,,,,,,,,,,,,0,,0.4114897549152374,0.23713774979114532,0.0,60.9809684753418,82.91221618652344,0.0,,,0.4456634223461151,-0.15035197138786316,0.0,0.7320327758789062,0.4047645330429077,0.28995221853256226,0.0,0.7320327758789062,15,0,0,False,-0.00465,False,False
pass_diag_2026-09-18,0,999,7,policy,18,,,,,,,,,,,,,,,0,,0.4318167567253113,0.2647751569747925,0.0,58.84663391113281,80.01028442382812,0.0,,,0.4456634223461151,-0.13768155872821808,0.0,0.760224609375,0.4047645330429077,0.30262261629104614,0.0,0.760224609375,15,0,0,False,-0.004866,False,False
pass_diag_2026-09-18,0,999,8,policy,18,,,,,,,,,,,,,,,0,,0.4514322876930237,0.291445255279541,0.0,56.78700256347656,77.20992279052734,0.0,,,0.4456634223461151,-0.1246587485074997,0.0,0.7813684844970703,0.4047645330429077,0.3156454265117645,0.0,0.7813684844970703,15,0,0,False,-0.005121,False,False
pass_diag_2026-09-18,0,999,9,policy,18,,,,,,,,,,,,,,,0,,0.47036129236221313,0.31718188524246216,0.0,54.79945755004883,74.50757598876953,0.0,,,0.4456634223461151,-0.11137164384126663,0.0,0.7972263336181641,0.4047645330429077,0.3289325535297394,0.0,0.7972263336181641,15,0,0,False,-0.005281,False,False
