seed,trajectory_step,basename,path,sha256,size_bytes,mtime,labeled_set
123,40000,mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight_40000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight_40000.pt,43bf592e9b41c39b8e8318a5cd8034edd7766324cf0d616a2054f44bb496f5a7,433603,2026-09-20T14:48:15.449274,retest
123,45000,mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight_45000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight_45000.pt,3e4e861ed7fc1e7e1cc3a37ebe40de10e033ec3721a156c0e4e3d9dee142e595,433603,2026-09-20T14:48:40.271054,retest
123,final,mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight.pt,72e56e385a031953f5ace01f2e56ff658c9730b7cc5c5e1ad88fd9c637acf4be,431887,2026-09-20T14:49:05.155453,retest
7,5000,mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_5000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_5000.pt,3a713a1dfb79ba608e1aeca9429f68e5a70e637d483b0ad72e81e3294092392d,432201,2026-09-20T14:49:38.939056,retest
7,10000,mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_10000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_10000.pt,4a13b97e5e29ae186123edbc5d5163a25a053f261a4fa358b57edd8d22ff246f,432263,2026-09-20T14:50:16.231448,retest
7,15000,mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_15000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_15000.pt,3680ded7f2044633fa3f979b6e2527e8f641f1ad417619bb4fd9468694d72a18,432263,2026-09-20T14:50:48.299169,retest
7,20000,mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_20000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_20000.pt,1d0cc0073793fbce356e73061d254aa8d7673833026ffaf141ea3b4c8edb9821,432263,2026-09-20T14:51:28.248915,retest
7,25000,mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_25000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_25000.pt,75e5427d82f5bcb620f1e6709c793ad8cf3e49f3e8d65c2dcff42eb0cda690d9,432263,2026-09-20T14:52:07.096156,retest
7,30000,mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_30000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_30000.pt,36664895f8cb9b2ddca43225c6686589a96a406754eb92135d06a0582495d9cd,432263,2026-09-20T14:52:45.649714,retest
7,35000,mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_35000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_35000.pt,310ad36d69fde9914c12005fe694dd1bfa7d41bf15b74174e2aa99440840c742,432263,2026-09-20T14:53:22.984069,retest
7,40000,mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_40000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_40000.pt,ad91cd30748ff9eadf7ef7dbb1f29a1055d5d59e088e1b194d828cb35f85dd01,432263,2026-09-20T14:54:06.127431,retest
7,45000,mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_45000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_45000.pt,5390cf379e22038ad3627c4491db7e5314c04de089c42f8e8ca5ad5a435e0d41,432263,2026-09-20T14:54:46.026998,retest
7,final,mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight.pt,7b29a3a465a3e1044a4908b205ce5fae2aa589b9d39ba258047314335d8b8524,431699,2026-09-20T14:55:29.395228,retest
999,5000,mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_5000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_5000.pt,0cf117712f10422c6bf3c1d5caefa57889c352f4a8eba9281bc39abb33ac169d,432389,2026-09-20T14:56:15.256714,retest
999,10000,mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_10000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_10000.pt,710d2c21c8fa6d2283bd6baf96552602322f4a895700d026fad945c16e9da7f5,433603,2026-09-20T14:56:44.428027,retest
999,15000,mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_15000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_15000.pt,c01e0eb2b0503f87b246614673a5d104999082ea978767410f4e6587dd6cee1f,433603,2026-09-20T14:57:11.614345,retest
999,20000,mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_20000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_20000.pt,a95c38820e110451707199be4e5953471e3f8698cd5465163383adc7ff2cc44d,433603,2026-09-20T14:57:39.132842,retest
999,25000,mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_25000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_25000.pt,64c3e67981c555799b09674728572fbf78dabbecafd95b77865fba1bb37f336e,433603,2026-09-20T14:58:05.707066,retest
999,30000,mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_30000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_30000.pt,5e0821a6f6d5f4b3d8a996070373144a0c7e5007821f76efd5c5be83d4d0c482,433603,2026-09-20T14:58:32.786975,retest
999,35000,mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_35000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_35000.pt,8c2076cfc52a1b9a1a6fbe784409c7af45c4633bd7e2f0f5c5b5e481f7a73405,433603,2026-09-20T14:58:57.597458,retest
999,40000,mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_40000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_40000.pt,a7bf6cbb5113a9be8134019ab0c20b1bacbe9306c9dc8f58cc0c0ec45aee5412,433603,2026-09-20T14:59:23.803210,retest
999,45000,mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_45000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_45000.pt,a7c93894b56ab53612e3f944e28271b38565f665126d8876b09418cd04386525,433603,2026-09-20T14:59:47.918518,retest
999,final,mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight.pt,0365a1d95f9a31f9517bdd42401aa3f4a4bfed3e713be610ae91bcf95d526097,431887,2026-09-20T15:00:13.790829,retest
