step,episodes,mean_reward,goal_rate_pct,total_pass_completed,total_goals,total_turnovers
10240,102,-1.4146,2.00,3,1,55
20480,193,-1.4899,0.00,4,1,106
30720,276,-1.5248,0.00,4,1,146
40960,355,-1.4940,0.00,7,1,186
51200,412,-1.5879,0.00,14,1,233
61440,474,-1.7014,0.00,19,1,300
71680,537,-1.5829,0.00,23,1,347
81920,624,-1.5264,0.00,26,1,444
92160,697,-1.6356,2.00,34,2,513
102400,768,-1.6136,0.00,41,2,578
112640,851,-1.5550,0.00,41,2,633
122880,934,-1.5179,0.00,52,2,738
133120,990,-1.5424,2.00,63,3,796
143360,1051,-1.4655,2.00,70,4,864
153600,1101,-1.7517,0.00,83,4,932
163840,1160,-1.6292,0.00,98,5,993
174080,1227,-1.6048,0.00,107,5,1060
184320,1287,-1.7856,0.00,120,5,1128
194560,1342,-1.7584,0.00,133,5,1196
