seed,checkpoint_label,checkpoint_timesteps,checkpoint,checkpoint_sha256,n_frames,pi_move_mean,pi_move_std,pi_pass_mean,pi_pass_std,pi_shot_mean,pi_shot_std,pi_tackle_mean,pi_tackle_std,pi_dribble_mean,pi_dribble_std,entropy_mean,entropy_std,entropy_median,delta_pass_move_mean,delta_pass_move_std,delta_shot_move_mean,delta_shot_move_std,mask_sum_mean,mask_pass_legal_rate,mask_shot_legal_rate,top1_prob_mean,top1_prob_median
42,mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_15000.pt,15104,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_15000.pt,,21,0.27211490273475647,0.21999351680278778,0.5378236770629883,0.3740254044532776,0.016855666413903236,0.011468577198684216,0.004963912069797516,0.015330499038100243,0.01842876337468624,0.01710169017314911,1.7099634408950806,1.0375057458877563,2.540156841278076,1.8729695081710815,1.8597242832183838,-0.9947587251663208,0.24661105871200562,17.714284896850586,0.9047619104385376,0.9047619104385376,0.5076386332511902,0.20836259424686432
42,mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight.pt,49920,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight.pt,,17,0.25367048382759094,0.19077365100383759,0.5498428344726562,0.35846424102783203,0.016713503748178482,0.00895942933857441,0.007261373568326235,0.01989591307938099,0.02052447199821472,0.018441706895828247,1.702696681022644,0.9188071489334106,0.838870644569397,2.0662078857421875,1.5438505411148071,-0.8118925094604492,0.19517897069454193,17.647058486938477,0.8823529481887817,0.8823529481887817,0.5309094190597534,0.8422244191169739
123,mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight_15000.pt,15104,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight_15000.pt,,41,0.5290023684501648,0.17144475877285004,0.15656079351902008,0.268745094537735,0.011425367556512356,0.019036363810300827,0.04091915115714073,0.027217527851462364,0.05268878489732742,0.021797459572553635,2.4857356548309326,0.3194851279258728,2.6324808597564697,1.1271448135375977,0.7683950066566467,0.023987697437405586,0.2614521086215973,15.804878234863281,0.26829269528388977,0.26829269528388977,0.21585746109485626,0.1261705458164215
123,mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight.pt,49920,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight.pt,,27,0.40906816720962524,0.1552981287240982,0.34366515278816223,0.24833421409130096,0.03275192156434059,0.018344834446907043,0.009773777797818184,0.0206499844789505,0.04823002591729164,0.019819293171167374,2.4033355712890625,0.33724111318588257,2.364132881164551,1.3034169673919678,1.0969792604446411,-0.33952596783638,0.33738720417022705,17.33333396911621,0.7777777910232544,0.7777777910232544,0.30692726373672485,0.3778136372566223
7,mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_15000.pt,15104,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight_15000.pt,,17,0.37997302412986755,0.21332326531410217,0.3648141920566559,0.29367122054100037,0.04369790479540825,0.03249327465891838,0.025273844599723816,0.03752099350094795,0.0287382323294878,0.01966024376451969,2.4212119579315186,0.23819711804389954,2.2004640102386475,1.5377717018127441,1.0125775337219238,0.19539721310138702,0.590571403503418,16.941177368164062,0.6470588445663452,0.6470588445663452,0.2634671926498413,0.3745335638523102
7,mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight.pt,49920,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight.pt,,23,0.42249974608421326,0.18461495637893677,0.2975735366344452,0.24947760999202728,0.04562624171376228,0.03369100019335747,0.022104792296886444,0.0340646468102932,0.02154739573597908,0.012159651145339012,2.5160248279571533,0.15211395919322968,2.548041343688965,0.8558571934700012,0.7998698353767395,-0.07112450152635574,0.47174888849258423,16.95652198791504,0.6521739363670349,0.6521739363670349,0.20798121392726898,0.1987026035785675
999,mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_15000.pt,15104,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight_15000.pt,,8,0.20146211981773376,0.18875090777873993,0.6373717784881592,0.3294968605041504,0.03008286841213703,0.020973900333046913,0.012045119889080524,0.03186839073896408,0.020495686680078506,0.018856026232242584,1.5235776901245117,0.7025295495986938,1.119131088256836,2.893281936645508,1.6420892477035522,0.28747937083244324,0.2947269082069397,17.625,0.875,0.875,0.6130599975585938,0.7811450958251953
999,mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight.pt,49920,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight.pt,,11,0.32250508666038513,0.1886860728263855,0.44994857907295227,0.32028400897979736,0.04879206046462059,0.038370802998542786,0.019534699618816376,0.04144405946135521,0.02825590968132019,0.01858978345990181,2.0495526790618896,0.6072835922241211,1.4987082481384277,1.4667677879333496,1.3333672285079956,-0.2859569489955902,0.10198843479156494,17.454545974731445,0.8181818127632141,0.8181818127632141,0.4292524456977844,0.6743296384811401
