seed,checkpoint_label,checkpoint_timesteps,checkpoint,checkpoint_sha256,scenario,base_seed,num_episodes,deterministic,n_ticks,n_onball,p_onball,n_pass_legal,pass_legal_rate,n_shot_legal,shot_legal_rate,n_pass_or_shot_legal,pass_or_shot_legal_rate,mean_pi_pass_all_onball,mean_pi_shot_all_onball,mean_pi_pass_shot_all_onball,mean_pi_pass_when_pass_legal,mean_pi_shot_when_shot_legal,mean_pi_pass_shot_when_either_legal,n_pass_shot_actions,p_selected_pass_shot_given_onball,mask_sum_mean,entropy_mean,n_post_step_owner0,n_onball_post_step_owner_not0,code_commit
42,50k,49920,training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight.pt,eb9e1403b6a65c3c288397b752c64319cf8f9022116492fa05a355c08682fd24,academy_3_vs_1_with_keeper_onball,700000,50,1,2550,74,0.029019607843137254,67,0.9054054054054054,67,0.9054054054054054,67,0.9054054054054054,0.7143105601237433,0.014840312704846665,0.7291508728285899,0.788940021629209,0.016390793136696318,0.8053308147659053,61,0.8243243243243243,17.716216216216218,1.274630219549746,15,59,59080736d1f22f3b9ecbcc32387ed343b6a1249c
123,50k,49920,training\models\mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight.pt,72e56e385a031953f5ace01f2e56ff658c9730b7cc5c5e1ad88fd9c637acf4be,academy_3_vs_1_with_keeper_onball,700000,50,1,2550,121,0.04745098039215686,77,0.6363636363636364,77,0.6363636363636364,77,0.6363636363636364,0.3092540629392813,0.027468404494041254,0.33672246743332257,0.48597067033315633,0.043164635633493396,0.5291353059666497,72,0.5950413223140496,16.90909090909091,2.382519708192053,21,100,59080736d1f22f3b9ecbcc32387ed343b6a1249c
7,50k,49920,training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight.pt,7b29a3a465a3e1044a4908b205ce5fae2aa589b9d39ba258047314335d8b8524,academy_3_vs_1_with_keeper_onball,700000,50,1,2550,91,0.03568627450980392,73,0.8021978021978022,73,0.8021978021978022,73,0.8021978021978022,0.3829062996575466,0.05240714955297145,0.435313449210518,0.4773215516279005,0.06532946040164934,0.5426510120295498,68,0.7472527472527473,17.406593406593405,2.478433433469835,15,76,59080736d1f22f3b9ecbcc32387ed343b6a1249c
999,50k,49920,training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight.pt,0365a1d95f9a31f9517bdd42401aa3f4a4bfed3e713be610ae91bcf95d526097,academy_3_vs_1_with_keeper_onball,700000,50,1,2550,92,0.03607843137254902,61,0.6630434782608695,61,0.6630434782608695,61,0.6630434782608695,0.44338834534763644,0.026910473187656506,0.47029881853529293,0.6687168487210254,0.04058628743056391,0.7093031361515894,58,0.6304347826086957,16.98913043478261,1.9988445497077445,9,83,59080736d1f22f3b9ecbcc32387ed343b6a1249c
