step,episodes,mean_reward,goal_rate_pct
10240,8,0.0462,0.00
20480,17,0.0500,0.00
30720,25,0.0436,0.00
40960,34,0.0438,0.00
51200,42,0.0436,0.00
61440,50,0.0668,0.00
71680,59,0.0666,0.00
81920,67,0.0632,0.00
92160,76,0.0726,0.00
102400,85,0.0738,0.00
112640,93,0.0638,0.00
122880,102,0.0674,0.00
133120,110,0.0960,0.00
143360,119,0.1026,0.00
153600,128,0.1392,0.00
163840,136,0.1350,0.00
174080,145,0.2010,0.00
184320,153,0.2030,0.00
194560,162,0.1792,0.00
