evaluation_id,checkpoint_sha256,scenario,algorithm,step,env_version,observation_schema_version,action_schema_version,learning_rate,goal_rate_pct,mean_reward,std_reward,shots_per_ep,turnover_rate,episodes,deterministic,checkpoint_path,provenance,env_hash
,,academy_3_vs_1_with_keeper,MAPPO,150528,,,,0.0003,0.00,0.2155,0.1645,0.00,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_150528.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T03:41:29.372671|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_500k.pt --resume training/models/mappo_academy_3_vs_1_with_keeper_500k.pt,
,,academy_3_vs_1_with_keeper,MAPPO,200704,,,,0.0003,0.00,0.2169,0.1652,0.00,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_200704.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T03:46:28.130065|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_500k.pt --resume training/models/mappo_academy_3_vs_1_with_keeper_500k.pt,
,,academy_3_vs_1_with_keeper,MAPPO,250880,,,,0.0003,0.00,0.2177,0.1738,23.20,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_250880.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T03:51:24.254896|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_500k.pt --resume training/models/mappo_academy_3_vs_1_with_keeper_500k.pt,
,,academy_3_vs_1_with_keeper,MAPPO,301056,,,,0.0003,0.00,0.2167,0.1732,10.10,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_301056.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T03:56:33.566092|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_500k.pt --resume training/models/mappo_academy_3_vs_1_with_keeper_500k.pt,
,,academy_3_vs_1_with_keeper,MAPPO,351232,,,,0.0003,0.00,0.2263,0.1725,19.97,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_351232.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T04:01:36.815822|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_500k.pt --resume training/models/mappo_academy_3_vs_1_with_keeper_500k.pt,
,,academy_3_vs_1_with_keeper,MAPPO,401408,,,,0.0003,0.00,0.2088,0.1728,10.90,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_401408.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T04:06:33.235307|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_500k.pt --resume training/models/mappo_academy_3_vs_1_with_keeper_500k.pt,
,,academy_3_vs_1_with_keeper,MAPPO,451584,,,,0.0003,0.00,0.2282,0.1738,14.63,100.00,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_451584.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T04:11:35.511292|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_500k.pt --resume training/models/mappo_academy_3_vs_1_with_keeper_500k.pt,
,,academy_3_vs_1_with_keeper,MAPPO,499968,,,,0.0003,2.00,0.2500,0.2348,19.40,98.00,50,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_500k.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T04:16:30.250641|cmd=training/train_mappo.py --timesteps 500000 --scenario academy_3_vs_1_with_keeper --checkpoint-name mappo_academy_3_vs_1_with_keeper_500k.pt --resume training/models/mappo_academy_3_vs_1_with_keeper_500k.pt,
,,academy_3_vs_1_with_keeper,MAPPO,499968,,,,0.0003,6.67,0.2937,0.3358,3.00,93.33,30,True,training/models/mappo_academy_3_vs_1_with_keeper_500k.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-06T04:21:09.550844|cmd=-c,
,,0453d2dfc06372a3,b5d924e5bd98057ac3b13ae94295a4c32050cba22280e27dfdb6ed3b73eeed5d,academy_3_vs_1_with_keeper,,,,MAPPO,4864,3.1.0,simple115_v3_role,discrete19_v1,0.0003,0.00,0.0991,0.1189,0.12,
