step,episodes,mean_reward,goal_rate_pct
10240,365,0.1300,4.00
20480,685,0.1125,6.00
30720,1053,0.1407,6.00
40960,1417,0.1707,8.00
51200,1765,0.2139,12.00
61440,2140,0.1856,10.00
71680,2425,0.1990,12.00
81920,2730,0.2886,16.00
92160,2915,0.2014,8.00
102400,3119,0.1243,6.00
112640,3454,0.2319,14.00
122880,3774,0.1886,10.00
133120,4090,0.2034,12.00
143360,4454,0.1387,8.00
153600,4699,0.1561,8.00
163840,4942,0.1749,10.00
174080,5235,0.1767,8.00
184320,5547,0.0594,0.00
194560,5865,0.1460,8.00
204800,6150,0.2268,14.00
215040,6365,0.2066,10.00
225280,6612,0.3609,24.00
235520,6775,0.0947,4.00
245760,6984,0.2829,16.00
256000,7254,0.3389,20.00
266240,7544,0.1992,12.00
276480,7770,0.1709,10.00
286720,8051,0.1651,8.00
296960,8194,0.2532,14.00
307200,8416,0.2050,10.00
317440,8616,0.3149,18.00
327680,8772,0.3771,22.00
337920,8988,0.3339,18.00
348160,9156,0.3138,16.00
358400,9402,0.3796,26.00
368640,9592,0.4027,22.00
378880,9796,0.4584,30.00
389120,9906,0.4579,28.00
399360,10040,0.3230,18.00
409600,10206,0.3056,14.00
419840,10394,0.4117,26.00
430080,10555,0.4686,30.00
440320,10725,0.4672,30.00
450560,10914,0.4984,34.00
460800,11102,0.5129,34.00
471040,11255,0.4017,26.00
481280,11430,0.5314,36.00
491520,11581,0.4469,28.00
