step,episodes,mean_reward,goal_rate_pct
10240,388,0.0693,4.00
20480,665,0.1177,4.00
30720,953,0.1192,4.00
40960,1256,0.0640,0.00
51200,1643,0.0719,0.00
61440,1994,0.1031,2.00
71680,2216,0.1264,0.00
81920,2405,0.1042,2.00
92160,2728,0.1248,2.00
102400,2957,0.1025,2.00
112640,3207,0.0674,2.00
122880,3459,0.1235,4.00
133120,3695,0.1291,4.00
143360,3908,0.2294,12.00
153600,4246,0.1819,8.00
163840,4525,0.2594,10.00
174080,4803,0.3128,16.00
184320,5052,0.2311,10.00
194560,5332,0.3071,12.00
204800,5593,0.3140,14.00
215040,5807,0.2804,12.00
225280,5989,0.2784,14.00
235520,6254,0.2770,14.00
245760,6512,0.1891,6.00
256000,6679,0.3590,16.00
266240,6925,0.2073,10.00
276480,7080,0.3976,20.00
286720,7299,0.2934,16.00
296960,7500,0.3051,14.00
307200,7721,0.3899,18.00
317440,7914,0.2712,12.00
327680,8064,0.2484,10.00
337920,8294,0.3376,18.00
348160,8537,0.3549,20.00
358400,8728,0.3794,20.00
368640,8891,0.3521,20.00
378880,9010,0.2647,14.00
389120,9113,0.4002,22.00
399360,9243,0.3251,14.00
409600,9473,0.3059,16.00
419840,9646,0.3981,24.00
430080,9792,0.3332,14.00
440320,9957,0.3639,22.00
450560,10081,0.4046,24.00
460800,10230,0.4188,24.00
471040,10443,0.3724,18.00
481280,10631,0.4407,24.00
491520,10824,0.2664,14.00
