step,episodes,mean_reward,goal_rate_pct,total_pass_completed,total_goals,total_turnovers
10240,70,-1.4528,2.00,7,1,53
20480,137,-1.5758,0.00,11,1,97
30720,220,-1.6036,0.00,13,1,143
40960,286,-1.6605,0.00,18,1,196
51200,355,-1.6321,0.00,22,1,259
61440,418,-1.5074,2.00,23,2,301
71680,498,-1.4992,0.00,25,2,356
81920,576,-1.6501,0.00,30,2,417
92160,642,-1.6014,0.00,42,2,492
102400,688,-1.9675,0.00,48,2,546
112640,732,-1.8956,0.00,56,2,600
122880,790,-1.6608,0.00,70,3,677
133120,838,-1.7329,0.00,79,3,726
143360,882,-1.6627,2.00,85,4,790
153600,963,-1.4450,2.00,103,5,908
163840,1010,-1.7975,2.00,118,6,974
174080,1078,-1.5139,2.00,132,7,1066
184320,1136,-1.5124,0.00,143,7,1157
194560,1173,-1.8328,2.00,153,8,1213
