step,episodes,mean_reward,goal_rate_pct
1024,0,0.0000,0.00
2048,0,0.0000,0.00
3072,0,0.0000,0.00
4096,0,0.0000,0.00
5120,0,0.0000,0.00
6144,1,-10.4615,0.00
7168,1,-10.4615,0.00
8192,1,-10.4615,0.00
9216,1,-10.4615,0.00
10240,1,-10.4615,0.00
11264,2,-11.9466,0.00
12288,2,-11.9466,0.00
13312,2,-11.9466,0.00
14336,2,-11.9466,0.00
15360,2,-11.9466,0.00
16384,3,-9.9303,0.00
17408,3,-9.9303,0.00
18432,3,-9.9303,0.00
19456,3,-9.9303,0.00
