seed,checkpoint_label,checkpoint_timesteps,checkpoint,checkpoint_sha256,scenario,base_seed,num_episodes,deterministic,n_ticks,n_decisions,n_pass,n_shot,n_pass_shot,canonical_rate_pct,rebuilt_pass_shot_rate_pct,delta_pp,rebuilt_match,n_onball,p_onball,mean_pi_pass_all_onball,mean_pi_shot_all_onball,mean_pi_pass_shot_all_onball,pi_floor_passed,pi_floor_n_onball,pi_floor_n_selected_ps,pi_floor_mean_pi_ps,pi_floor_mean_pi_selected,pi_floor_mean_pi_ps_given_selected,pi_floor_mean_mask_sum_given_selected,pi_floor_floor_action_space,pi_floor_floor_observed_masks,pi_floor_inequality_1,pi_floor_inequality_2,pi_floor_inequality_3,agent0_n_decisions,agent0_n_onball,agent0_p_onball,agent0_n_selected_ps_when_onball,agent0_p_selected_ps_given_onball,agent1_n_decisions,agent1_n_onball,agent1_p_onball,agent1_n_selected_ps_when_onball,agent1_p_selected_ps_given_onball,agent2_n_decisions,agent2_n_onball,agent2_p_onball,agent2_n_selected_ps_when_onball,agent2_p_selected_ps_given_onball,team_n_agent_onball_total,team_p_agent_onball,team_n_selected_ps_onball_total,team_p_selected_ps_given_agent_onball,n_pass_legal,n_shot_legal,n_pass_or_shot_legal,pass_legal_rate,shot_legal_rate,pass_or_shot_legal_rate,pi_pass_when_pass_legal,pi_shot_when_shot_legal,pi_pass_shot_when_either_legal,code_commit
42,50k,49920,training/models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight.pt,eb9e1403b6a65c3c288397b752c64319cf8f9022116492fa05a355c08682fd24,academy_3_vs_1_with_keeper_onball,500000,50,1,2550,7650,57,0,57,0.7450980392156863,0.75,-0.004901960784313708,1,62,0.008104575163398693,0.814425844729187,0.015129485377861608,0.8295553301070486,1,62,57,0.8798862456164339,0.82132925903588,0.8798862456164339,18.0,0.04838709677419355,0.0510752688172043,1,1,1,2550,62,0.02431372549019608,57,0.9193548387096774,2550,0,0.0,0,0.0,2550,0,0.0,0,0.0,62,0.008104575163398693,57,0.9193548387096774,62,62,62,1.0,1.0,1.0,0.814425844729187,0.015129485377861608,0.8295553301070486,8745cc20a3e585fe4c9c6b4f08fde1f5a94cab07
123,50k,49920,training/models\mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight.pt,72e56e385a031953f5ace01f2e56ff658c9730b7cc5c5e1ad88fd9c637acf4be,academy_3_vs_1_with_keeper_onball,500000,50,1,2550,7650,127,1,128,1.6732026143790852,1.67,0.003202614379085311,1,145,0.01895424836601307,0.36623641271144153,0.05115160036446719,0.4173880130759087,1,145,128,0.43898980541416677,0.3026074453955516,0.43898980541416677,18.0,0.04646098003629764,0.049042145593869726,1,1,1,2550,78,0.03058823529411765,74,0.9487179487179487,2550,25,0.00980392156862745,17,0.68,2550,42,0.01647058823529412,37,0.8809523809523809,145,0.01895424836601307,128,0.8827586206896552,145,145,145,1.0,1.0,1.0,0.36623641271144153,0.05115160036446719,0.4173880130759087,8745cc20a3e585fe4c9c6b4f08fde1f5a94cab07
7,50k,49920,training/models\mappo_academy_3_vs_1_with_keeper_onball_seed7_actorreweight.pt,7b29a3a465a3e1044a4908b205ce5fae2aa589b9d39ba258047314335d8b8524,academy_3_vs_1_with_keeper_onball,500000,50,1,2550,7650,66,0,66,0.8627450980392156,0.86,0.002745098039215632,1,67,0.008758169934640523,0.49693462833650964,0.06569366635226492,0.5626282946887746,1,67,66,0.566984015460493,0.2597126657086791,0.566984015460493,18.0,0.05184603299293008,0.05472636815920398,1,1,1,2550,60,0.023529411764705882,59,0.9833333333333333,2550,5,0.00196078431372549,5,1.0,2550,2,0.000784313725490196,2,1.0,67,0.008758169934640523,66,0.9850746268656716,67,67,67,1.0,1.0,1.0,0.49693462833650964,0.06569366635226492,0.5626282946887746,8745cc20a3e585fe4c9c6b4f08fde1f5a94cab07
999,50k,49920,training/models\mappo_academy_3_vs_1_with_keeper_onball_seed999_actorreweight.pt,0365a1d95f9a31f9517bdd42401aa3f4a4bfed3e713be610ae91bcf95d526097,academy_3_vs_1_with_keeper_onball,500000,50,1,2550,7650,79,0,79,1.0326797385620916,1.03,0.0026797385620915826,1,91,0.011895424836601307,0.5320384702389385,0.0478082982475286,0.579846768486467,1,91,79,0.6333073253354317,0.5058188410122183,0.6333073253354317,18.0,0.04569115095430885,0.048229548229548225,1,1,1,2550,58,0.022745098039215685,57,0.9827586206896551,2550,11,0.004313725490196078,11,1.0,2550,22,0.008627450980392156,11,0.5,91,0.011895424836601307,79,0.8681318681318682,91,91,91,1.0,1.0,1.0,0.5320384702389385,0.0478082982475286,0.579846768486467,8745cc20a3e585fe4c9c6b4f08fde1f5a94cab07
