action_family,n,advantage_mean,advantage_std,old_logprob_mean,ratio_mean,clip_fraction,logit_grad_norm_mean
TACKLE,9,0.2233294364478853,0.07559424427376611,-2.50281204117669,0.9878171298273798,0.0,0.0019588761497288942
PASS,7,0.1109348599399839,0.0979079957478495,-3.4090449128832137,1.0035250012130645,0.0,0.0001956830871807012
SHOT,3,0.4070111612478892,0.07143168121922985,-3.661546230316162,1.0971103257209378,0.0,0.006195892114192247
MOVE,6721,0.03880267769959904,0.24024458438586338,-1.9309721472823465,1.0078510992822842,0.008034518672816545,0.03434878614716029
IDLE,568,0.024980557085552687,0.21192318713580122,-2.476338376041869,0.9114398981155653,0.01936619718309859,0.010513336397707462
OTHER,42,0.16819662073006234,0.10691111811582596,-2.9887924705232893,1.0117008382694388,0.0,0.0028034664660697758
