action_family,n,probe_A_shared_mean,train_A_per_agent_mean,train_A_normalized_mean
TACKLE,5,0.12622175067663194,0.16684380173683167,0.6349684119224548
PASS,1,-0.003710418939590454,-0.003710418939590454,-0.2676825523376465
MOVE,2734,0.04405347999197587,0.04370141021795598,-0.01675745437532151
IDLE,240,0.06991677251256381,0.07285732079762966,0.13754896710161119
OTHER,14,0.17658911326101848,0.1804274764976331,0.7068594400770962
