step,update,surrogate_loss_share_M,surrogate_loss_share_M1
256,1,0.7310760468244553,0.010609880380798131
512,2,0.2681504040956497,0.002726629531631867
768,3,0.41232724611957866,0.003152450983179733
1024,4,0.5593942254781723,0.007056931111340721
1280,5,0.21883600329359373,0.0009754870419177072
1536,6,0.4007514814535777,0.006266719991496454
1792,7,0.2818538298209508,0.003618586342781782
2048,8,0.6658373475074768,0.018131987773813307
2304,9,0.0,0.0
2560,10,0.0,0.0
2816,11,0.0,0.0
3072,12,0.0,0.0
3328,13,0.0,0.0
3584,14,0.0,0.0
3840,15,0.3160727520783742,0.011797803454101086
4096,16,0.33475665499766666,0.0014906740107107908
4352,17,0.0,0.0
4608,18,0.0,0.0
4864,19,0.0,0.0
5120,20,0.15076856563488641,0.0005504324023301402
5376,21,0.0,0.0
5632,22,0.0,0.0
5888,23,0.3374398611485958,0.002189093892714785
6144,24,0.23997646570205688,0.0017081921687349677
6400,25,0.0,0.0
6656,26,0.0,0.0
6912,27,0.0,0.0
7168,28,0.0,0.0
7424,29,0.0,0.0
7680,30,0.0,0.0
7936,31,0.49341978629430133,0.0038107649500792227
8192,32,0.4717583308617274,0.003395760509495934
8448,33,0.29265408714612323,0.0015280475878777604
8704,34,0.23714790244897208,0.0016416606570904453
8960,35,0.39528194566567737,0.004181849226976435
9216,36,0.5646897157033285,0.005483748585296174
9472,37,0.500754326581955,0.00730488922757407
9728,38,0.48956295599540073,0.0032703644149781517
9984,39,0.3869723578294118,0.00402790503964449
10240,40,0.5430546700954437,0.007017072833453615
10496,41,0.666513110200564,0.00844733021222055
10752,42,0.2670082524418831,0.001113614557349744
11008,43,0.45968019403517246,0.00816157949520857
11264,44,0.31671562045812607,0.0021903465482561537
11520,45,0.48726874589920044,0.006154916831292212
11776,46,0.5224671612183253,0.006737761180071781
12032,47,0.6315584182739258,0.008597893368763229
12288,48,0.3996131221453349,0.004249851335771382
12544,49,0.2560379008452098,0.0022111493162810802
12800,50,0.4722296744585037,0.006011991451183955
13056,51,0.3699379314978917,0.007894218394843241
13312,52,0.3912026931842168,0.004368330584838986
13568,53,0.5790535608927408,0.006812243625366439
13824,54,0.0,0.0
14080,55,0.0,0.0
14336,56,0.0,0.0
14592,57,0.0,0.0
14848,58,0.0,0.0
