step,update,surrogate_loss_share_M,surrogate_loss_share_M1
256,1,0.5172611872355143,0.004173544196722408
512,2,0.4177549183368683,0.006535676967663069
768,3,0.0,0.0
1024,4,0.0,0.0
1280,5,0.0,0.0
1536,6,0.0,0.0
1792,7,0.0,0.0
2048,8,0.5742838308215141,0.016733470945230994
2304,9,0.597749243179957,0.007273764892791708
2560,10,0.7232507566610972,0.008455814881017432
2816,11,0.47726359963417053,0.0059844618663191795
3072,12,0.30408577620983124,0.0068362001329660416
3328,13,0.25148164418836433,0.0015146044618935168
3584,14,0.7452670484781265,0.015061473493309071
3840,15,0.4975058237711589,0.00742163621665289
4096,16,0.0,0.0
4352,17,0.0,0.0
4608,18,0.0,0.0
4864,19,0.0,0.0
5120,20,0.0,0.0
5376,21,0.0,0.0
5632,22,0.3261512828369935,0.003365841895477691
5888,23,0.2954616496960322,0.005128757407267888
6144,24,0.4870664527018865,0.0038174245661745467
6400,25,0.503600021203359,0.008897771360352635
6656,26,0.41497114797433216,0.006536703362750511
6912,27,0.7450342327356339,0.017101133077327784
7168,28,0.6029731829961141,0.006991654828501244
7424,29,0.0,0.0
7680,30,0.0,0.0
7936,31,0.0,0.0
8192,32,0.0,0.0
8448,33,0.0,0.0
8704,34,0.0,0.0
8960,35,0.28230971097946167,0.0014043626627729584
9216,36,0.15404031674067178,0.0005723585103017589
9472,37,0.5297832439343134,0.005735886011583109
9728,38,0.0,0.0
9984,39,0.0,0.0
10240,40,0.0,0.0
10496,41,0.17425547540187836,0.0007295009563677013
10752,42,0.6134610995650291,0.0062579683629640686
11008,43,0.6498654906948408,0.008432469961311048
11264,44,0.41342578331629437,0.002927686359422902
11520,45,0.5785387034217516,0.006062557503658657
11776,46,0.28482208400964737,0.0014125311960621427
12032,47,0.4483661502599716,0.009932650258027328
12288,48,0.5527637091775736,0.009125800012649657
12544,49,0.6318500836690267,0.006276666555398454
12800,50,0.25039271761973697,0.0009424329812948903
13056,51,0.42924849192301434,0.007062543571616213
13312,52,0.4304240345954895,0.0026710512853848436
13568,53,0.44500888387362164,0.003045820825112363
13824,54,0.29165970782438916,0.0009958228595981684
14080,55,0.19726351027687392,0.0007169480425848936
14336,56,0.2198306880891323,0.0007478867337340489
14592,57,0.18632416675488153,0.0005641920918909212
14848,58,0.15474332372347513,0.0005782614268052081
