step,update,surrogate_loss_share_M,surrogate_loss_share_M1
256,1,0.438388641923666,0.004315142655589928
512,2,0.3629467338323593,0.002951403303692738
768,3,0.7672855257987976,0.011137687523538867
1024,4,0.2828272581100464,0.0037060969043523073
1280,5,0.6964210818211237,0.014569697300127396
1536,6,0.4673627366622289,0.015754040020207565
1792,7,0.10681745409965515,0.0003143184876535088
2048,8,0.3365018566449483,0.006632330177429442
2304,9,0.4643245389064153,0.014747333091994127
2560,10,0.6089623421430588,0.013905909222861132
2816,11,0.519589309891065,0.010041467612609267
3072,12,0.5252990474303564,0.006131468534780045
3328,13,0.7031792278091112,0.012914978598322099
3584,14,0.44682197738438845,0.007991290570013613
3840,15,0.4224890172481537,0.0056020345946308225
4096,16,0.4675520410140355,0.003844497841782868
4352,17,0.5517067213853201,0.00810561179726695
4608,18,0.3788610299428304,0.0036446727463044226
4864,19,0.58999486019214,0.009786682513852915
5120,20,0.6788621284067631,0.007506950587412575
5376,21,0.37487105031808216,0.002377246778147916
5632,22,0.29529539371530217,0.0014088873770864059
5888,23,0.5002771417299906,0.005425797135103494
6144,24,0.33687834441661835,0.0022898590153393648
6400,25,0.4012064039707184,0.0046019026000673575
6656,26,0.5373022109270096,0.00702437967993319
6912,27,0.04518657239774863,0.0001045777607942
7168,28,0.2781958033641179,0.001834955202260365
7424,29,0.5286514014005661,0.006517938862089068
7680,30,0.1989813782274723,0.000838733118143864
7936,31,0.2363776514927546,0.0016185188045104344
8192,32,0.24478529890378317,0.0010335375166808565
8448,33,0.5052375843127569,0.00431840552482754
8704,34,0.7171244124571482,0.009555197689527025
8960,35,0.5266865988572439,0.005866486035908262
9216,36,0.4448016583919525,0.003545053390553221
9472,37,0.3418509215116501,0.0033681695495033637
9728,38,0.4727954889337222,0.005768398414753999
9984,39,0.44233448306719464,0.0048625316509666545
10240,40,0.40094620486100513,0.0035614310181699693
10496,41,0.4137016733487447,0.003922631110375126
10752,42,0.4269895926117897,0.0028282889688853174
11008,43,0.19975928713877997,0.0009535675978137684
11264,44,0.5669647629062334,0.005938358808634803
11520,45,0.8618748635053635,0.018141461342262726
11776,46,0.6022220204273859,0.006545463266472022
12032,47,0.41772908469041187,0.004051228631093788
12288,48,0.6240981916586558,0.010455059508482615
12544,49,0.6686829325432578,0.011436058127098173
12800,50,0.46823398768901825,0.00551379460375756
13056,51,0.41994256774584454,0.0031698180052141347
13312,52,0.20453191548585892,0.00065800198353827
13568,53,0.5484824677308401,0.00438583727615575
13824,54,0.6264871110518774,0.008619680573853353
14080,55,0.6018459647893906,0.005563944442352901
14336,56,0.0,0.0
14592,57,0.0,0.0
14848,58,0.0,0.0
