commit,scenario,seed,collector,episode_index,global_step,episode_length,episode_reward,terminal,truncated,terminal_raw_reward,terminal_shared_reward,score_left,score_right,event_code,terminal_checkpoint_reward,terminal_distance_to_goal,min_step_reward,max_step_reward,sum_step_rewards,reward_count,reward_sum_validation
,academy_3_vs_1_with_keeper,42,collect_rollout,0,0,18,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,42,collect_rollout,1,0,22,-0.0666666638571769,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.0666666638571769,1,-0.0666666638571769
,academy_3_vs_1_with_keeper,42,collect_rollout,2,0,49,-0.14796646032482386,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.14796646032482386,1,-0.14796646032482386
,academy_3_vs_1_with_keeper,42,collect_rollout,3,0,16,-0.049999997951090336,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.049999997951090336,1,-0.049999997951090336
,academy_3_vs_1_with_keeper,42,collect_rollout,4,0,21,-0.04999999771825969,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04999999771825969,1,-0.04999999771825969
,academy_3_vs_1_with_keeper,42,collect_rollout,5,0,16,-0.049999997951090336,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.049999997951090336,1,-0.049999997951090336
,academy_3_vs_1_with_keeper,42,collect_rollout,6,0,9,-0.028871183982118964,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.028871183982118964,1,-0.028871183982118964
,academy_3_vs_1_with_keeper,42,collect_rollout,7,0,21,-0.02333333226852119,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.02333333226852119,1,-0.02333333226852119
,academy_3_vs_1_with_keeper,42,collect_rollout,8,0,17,-0.03999999864026904,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03999999864026904,1,-0.03999999864026904
,academy_3_vs_1_with_keeper,42,collect_rollout,9,0,22,-0.04999999771825969,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04999999771825969,1,-0.04999999771825969
,academy_3_vs_1_with_keeper,42,collect_rollout,10,0,52,-0.17740577342920005,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.17740577342920005,1,-0.17740577342920005
,academy_3_vs_1_with_keeper,42,collect_rollout,11,0,16,-0.026666665449738503,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.026666665449738503,1,-0.026666665449738503
,academy_3_vs_1_with_keeper,42,collect_rollout,12,0,17,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,42,collect_rollout,13,0,19,-0.04999999771825969,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04999999771825969,1,-0.04999999771825969
,academy_3_vs_1_with_keeper,42,collect_rollout,14,0,18,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,42,collect_rollout,15,0,22,-0.059999997494742274,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.059999997494742274,1,-0.059999997494742274
,academy_3_vs_1_with_keeper,42,collect_rollout,16,0,22,-0.02333333226852119,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.02333333226852119,1,-0.02333333226852119
,academy_3_vs_1_with_keeper,42,collect_rollout,17,0,35,-0.1266666641458869,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.1266666641458869,1,-0.1266666641458869
,academy_3_vs_1_with_keeper,42,collect_rollout,18,0,20,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,42,collect_rollout,19,0,87,-0.35333332046866417,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.35333332046866417,1,-0.35333332046866417
,academy_3_vs_1_with_keeper,42,collect_rollout,20,0,29,-0.0999999986961484,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.0999999986961484,1,-0.0999999986961484
,academy_3_vs_1_with_keeper,42,collect_rollout,21,0,19,-0.026666665449738503,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.026666665449738503,1,-0.026666665449738503
,academy_3_vs_1_with_keeper,42,collect_rollout,22,0,36,0.042326112976297736,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.042326112976297736,1,0.042326112976297736
,academy_3_vs_1_with_keeper,42,collect_rollout,23,0,14,-0.0399999984074384,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.0399999984074384,1,-0.0399999984074384
,academy_3_vs_1_with_keeper,42,collect_rollout,24,0,21,-0.04999999771825969,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04999999771825969,1,-0.04999999771825969
,academy_3_vs_1_with_keeper,42,collect_rollout,25,0,8,-0.0030135931447148323,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.0030135931447148323,1,-0.0030135931447148323
,academy_3_vs_1_with_keeper,42,collect_rollout,26,0,18,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,42,collect_rollout,27,0,19,-0.059999997494742274,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.059999997494742274,1,-0.059999997494742274
,academy_3_vs_1_with_keeper,42,collect_rollout,28,0,16,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,42,collect_rollout,29,0,52,-0.16666665952652693,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.16666665952652693,1,-0.16666665952652693
,academy_3_vs_1_with_keeper,42,collect_rollout,30,0,17,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,42,collect_rollout,31,0,18,-0.04333333158865571,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04333333158865571,1,-0.04333333158865571
,academy_3_vs_1_with_keeper,42,collect_rollout,32,0,21,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,42,collect_rollout,33,0,44,-0.03480176840093918,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03480176840093918,1,-0.03480176840093918
,academy_3_vs_1_with_keeper,42,collect_rollout,34,0,18,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,42,collect_rollout,35,0,16,-0.03333333204500377,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333204500377,1,-0.03333333204500377
,academy_3_vs_1_with_keeper,42,collect_rollout,36,0,19,-0.04333333158865571,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04333333158865571,1,-0.04333333158865571
,academy_3_vs_1_with_keeper,42,collect_rollout,37,0,30,-0.10999999544583261,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.10999999544583261,1,-0.10999999544583261
,academy_3_vs_1_with_keeper,42,collect_rollout,38,0,16,-0.026666665449738503,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.026666665449738503,1,-0.026666665449738503
,academy_3_vs_1_with_keeper,42,collect_rollout,39,0,22,-0.05999999726191163,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05999999726191163,1,-0.05999999726191163
,academy_3_vs_1_with_keeper,42,collect_rollout,40,0,45,0.21950226886110613,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.21950226886110613,1,0.21950226886110613
,academy_3_vs_1_with_keeper,42,collect_rollout,41,0,34,-0.10333332908339798,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.10333332908339798,1,-0.10333332908339798
,academy_3_vs_1_with_keeper,42,collect_rollout,42,0,19,-0.02333333226852119,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.02333333226852119,1,-0.02333333226852119
,academy_3_vs_1_with_keeper,42,collect_rollout,43,0,30,-0.10666666203178465,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.10666666203178465,1,-0.10666666203178465
,academy_3_vs_1_with_keeper,42,collect_rollout,44,0,15,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,42,collect_rollout,45,0,20,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,42,collect_rollout,46,0,18,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,42,collect_rollout,47,0,14,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,42,collect_rollout,48,0,22,-0.04999999771825969,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04999999771825969,1,-0.04999999771825969
,academy_3_vs_1_with_keeper,42,collect_rollout,49,0,16,-0.05666666431352496,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05666666431352496,1,-0.05666666431352496
,academy_3_vs_1_with_keeper,42,collect_rollout,50,0,19,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,42,collect_rollout,51,0,22,-0.026666665449738503,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.026666665449738503,1,-0.026666665449738503
,academy_3_vs_1_with_keeper,42,collect_rollout,52,0,51,-0.1499999964144081,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.1499999964144081,1,-0.1499999964144081
,academy_3_vs_1_with_keeper,42,collect_rollout,53,0,19,-0.02333333226852119,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.02333333226852119,1,-0.02333333226852119
,academy_3_vs_1_with_keeper,42,collect_rollout,54,0,16,-0.013333332724869251,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.013333332724869251,1,-0.013333332724869251
,academy_3_vs_1_with_keeper,42,collect_rollout,55,0,18,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
