commit,scenario,seed,collector,episode_index,global_step,episode_length,episode_reward,terminal,truncated,terminal_raw_reward,terminal_shared_reward,score_left,score_right,event_code,terminal_checkpoint_reward,terminal_distance_to_goal,min_step_reward,max_step_reward,sum_step_rewards,reward_count,reward_sum_validation
,academy_3_vs_1_with_keeper,999,collect_rollout,0,0,64,-0.13493556156754494,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.13493556156754494,1,-0.13493556156754494
,academy_3_vs_1_with_keeper,999,collect_rollout,1,0,18,-0.04999999771825969,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04999999771825969,1,-0.04999999771825969
,academy_3_vs_1_with_keeper,999,collect_rollout,2,0,5,0.020959184505045414,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.020959184505045414,1,0.020959184505045414
,academy_3_vs_1_with_keeper,999,collect_rollout,3,0,21,-0.05333333136513829,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05333333136513829,1,-0.05333333136513829
,academy_3_vs_1_with_keeper,999,collect_rollout,4,0,15,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,999,collect_rollout,5,0,14,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,999,collect_rollout,6,0,17,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,999,collect_rollout,7,0,17,-0.053333330899477005,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.053333330899477005,1,-0.053333330899477005
,academy_3_vs_1_with_keeper,999,collect_rollout,8,0,19,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,999,collect_rollout,9,0,20,-0.04333333135582507,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04333333135582507,1,-0.04333333135582507
,academy_3_vs_1_with_keeper,999,collect_rollout,10,0,20,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,999,collect_rollout,11,0,53,-0.10999999498017132,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.10999999498017132,1,-0.10999999498017132
,academy_3_vs_1_with_keeper,999,collect_rollout,12,0,20,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,999,collect_rollout,13,0,18,-0.05999999726191163,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05999999726191163,1,-0.05999999726191163
,academy_3_vs_1_with_keeper,999,collect_rollout,14,0,92,-0.23863375885412097,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.23863375885412097,1,-0.23863375885412097
,academy_3_vs_1_with_keeper,999,collect_rollout,15,0,34,-0.08666666317731142,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.08666666317731142,1,-0.08666666317731142
,academy_3_vs_1_with_keeper,999,collect_rollout,16,0,19,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,999,collect_rollout,17,0,20,-0.04666666453704238,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04666666453704238,1,-0.04666666453704238
,academy_3_vs_1_with_keeper,999,collect_rollout,18,0,17,-0.026666665449738503,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.026666665449738503,1,-0.026666665449738503
,academy_3_vs_1_with_keeper,999,collect_rollout,19,0,18,-0.049999997951090336,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.049999997951090336,1,-0.049999997951090336
,academy_3_vs_1_with_keeper,999,collect_rollout,20,0,21,-0.05999999726191163,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05999999726191163,1,-0.05999999726191163
,academy_3_vs_1_with_keeper,999,collect_rollout,21,0,20,-0.0666666638571769,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.0666666638571769,1,-0.0666666638571769
,academy_3_vs_1_with_keeper,999,collect_rollout,22,0,15,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,999,collect_rollout,23,0,7,0.040387670043855906,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.040387670043855906,1,0.040387670043855906
,academy_3_vs_1_with_keeper,999,collect_rollout,24,0,18,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,999,collect_rollout,25,0,9,-0.08469470031559467,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.08469470031559467,1,-0.08469470031559467
,academy_3_vs_1_with_keeper,999,collect_rollout,26,0,19,-0.05666666408069432,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05666666408069432,1,-0.05666666408069432
,academy_3_vs_1_with_keeper,999,collect_rollout,27,0,16,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,999,collect_rollout,28,0,23,-0.05333333113230765,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05333333113230765,1,-0.05333333113230765
,academy_3_vs_1_with_keeper,999,collect_rollout,29,0,22,-0.04666666453704238,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04666666453704238,1,-0.04666666453704238
,academy_3_vs_1_with_keeper,999,collect_rollout,30,0,18,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,999,collect_rollout,31,0,18,-0.009999999543651938,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.009999999543651938,1,-0.009999999543651938
,academy_3_vs_1_with_keeper,999,collect_rollout,32,0,18,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,999,collect_rollout,33,0,17,-0.04999999771825969,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04999999771825969,1,-0.04999999771825969
,academy_3_vs_1_with_keeper,999,collect_rollout,34,0,22,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,999,collect_rollout,35,0,18,-0.049999997951090336,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.049999997951090336,1,-0.049999997951090336
,academy_3_vs_1_with_keeper,999,collect_rollout,36,0,19,-0.019999999087303877,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.019999999087303877,1,-0.019999999087303877
,academy_3_vs_1_with_keeper,999,collect_rollout,37,0,16,-0.019999999087303877,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.019999999087303877,1,-0.019999999087303877
,academy_3_vs_1_with_keeper,999,collect_rollout,38,0,18,-0.04333333135582507,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04333333135582507,1,-0.04333333135582507
,academy_3_vs_1_with_keeper,999,collect_rollout,39,0,18,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,999,collect_rollout,40,0,20,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,999,collect_rollout,41,0,20,-0.05333333113230765,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05333333113230765,1,-0.05333333113230765
,academy_3_vs_1_with_keeper,999,collect_rollout,42,0,19,-0.029999998630955815,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.029999998630955815,1,-0.029999998630955815
,academy_3_vs_1_with_keeper,999,collect_rollout,43,0,39,2.3071469989954494,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.3071469989954494,1,2.3071469989954494
,academy_3_vs_1_with_keeper,999,collect_rollout,44,0,14,-0.026666665449738503,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.026666665449738503,1,-0.026666665449738503
,academy_3_vs_1_with_keeper,999,collect_rollout,45,0,17,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,999,collect_rollout,46,0,20,-0.02999999886378646,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.02999999886378646,1,-0.02999999886378646
,academy_3_vs_1_with_keeper,999,collect_rollout,47,0,21,-0.053333330899477005,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.053333330899477005,1,-0.053333330899477005
,academy_3_vs_1_with_keeper,999,collect_rollout,48,0,50,-0.1233333284035325,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.1233333284035325,1,-0.1233333284035325
,academy_3_vs_1_with_keeper,999,collect_rollout,49,0,21,-0.04666666453704238,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04666666453704238,1,-0.04666666453704238
,academy_3_vs_1_with_keeper,999,collect_rollout,50,0,42,-0.024426601201412268,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.024426601201412268,1,-0.024426601201412268
,academy_3_vs_1_with_keeper,999,collect_rollout,51,0,38,0.04615252395160496,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.04615252395160496,1,0.04615252395160496
,academy_3_vs_1_with_keeper,999,collect_rollout,52,0,23,-0.036666665226221085,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.036666665226221085,1,-0.036666665226221085
,academy_3_vs_1_with_keeper,999,collect_rollout,53,0,17,-0.029999998630955815,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.029999998630955815,1,-0.029999998630955815
,academy_3_vs_1_with_keeper,999,collect_rollout,54,0,38,-0.11999999498948455,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.11999999498948455,1,-0.11999999498948455
,academy_3_vs_1_with_keeper,999,collect_rollout,55,0,13,-0.016666665906086564,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.016666665906086564,1,-0.016666665906086564
,academy_3_vs_1_with_keeper,999,collect_rollout,56,0,20,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,999,collect_rollout,57,0,20,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,999,collect_rollout,58,0,32,-0.08333332953043282,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.08333332953043282,1,-0.08333332953043282
,academy_3_vs_1_with_keeper,999,collect_rollout,59,0,17,-0.029999998630955815,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.029999998630955815,1,-0.029999998630955815
,academy_3_vs_1_with_keeper,999,collect_rollout,60,0,17,-0.04666666453704238,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04666666453704238,1,-0.04666666453704238
,academy_3_vs_1_with_keeper,999,collect_rollout,61,0,15,-0.026666665449738503,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.026666665449738503,1,-0.026666665449738503
,academy_3_vs_1_with_keeper,999,collect_rollout,62,0,65,-0.12331541907042265,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.12331541907042265,1,-0.12331541907042265
,academy_3_vs_1_with_keeper,999,collect_rollout,63,0,16,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,999,collect_rollout,64,0,33,-0.08666666294448078,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.08666666294448078,1,-0.08666666294448078
,academy_3_vs_1_with_keeper,999,collect_rollout,65,0,19,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,999,collect_rollout,66,0,17,-0.026666665449738503,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.026666665449738503,1,-0.026666665449738503
,academy_3_vs_1_with_keeper,999,collect_rollout,67,0,17,-0.019999999087303877,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.019999999087303877,1,-0.019999999087303877
,academy_3_vs_1_with_keeper,999,collect_rollout,68,0,48,-0.07691110740415752,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.07691110740415752,1,-0.07691110740415752
,academy_3_vs_1_with_keeper,999,collect_rollout,69,0,34,0.04464982100762427,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.04464982100762427,1,0.04464982100762427
,academy_3_vs_1_with_keeper,999,collect_rollout,70,0,23,-0.05999999726191163,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05999999726191163,1,-0.05999999726191163
,academy_3_vs_1_with_keeper,999,collect_rollout,71,0,51,-0.07333332998678088,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.07333332998678088,1,-0.07333332998678088
,academy_3_vs_1_with_keeper,999,collect_rollout,72,0,18,-0.029999998630955815,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.029999998630955815,1,-0.029999998630955815
,academy_3_vs_1_with_keeper,999,collect_rollout,73,0,18,-0.029999998630955815,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.029999998630955815,1,-0.029999998630955815
,academy_3_vs_1_with_keeper,999,collect_rollout,74,0,54,-0.1299999940674752,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.1299999940674752,1,-0.1299999940674752
,academy_3_vs_1_with_keeper,999,collect_rollout,75,0,17,-0.04333333135582507,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04333333135582507,1,-0.04333333135582507
,academy_3_vs_1_with_keeper,999,collect_rollout,76,0,18,-0.04333333158865571,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04333333158865571,1,-0.04333333158865571
,academy_3_vs_1_with_keeper,999,collect_rollout,77,0,17,-0.02333333226852119,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.02333333226852119,1,-0.02333333226852119
,academy_3_vs_1_with_keeper,999,collect_rollout,78,0,41,-0.02273432383663021,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.02273432383663021,1,-0.02273432383663021
,academy_3_vs_1_with_keeper,999,collect_rollout,79,0,19,-0.05666666431352496,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05666666431352496,1,-0.05666666431352496
