commit,scenario,seed,collector,episode_index,global_step,episode_length,episode_reward,terminal,truncated,terminal_raw_reward,terminal_shared_reward,score_left,score_right,event_code,terminal_checkpoint_reward,terminal_distance_to_goal,min_step_reward,max_step_reward,sum_step_rewards,reward_count,reward_sum_validation
,academy_3_vs_1_with_keeper,42,collect_rollout,0,0,15,-0.029999998630955815,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.029999998630955815,1,-0.029999998630955815
,academy_3_vs_1_with_keeper,42,collect_rollout,1,0,18,-0.05333333113230765,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05333333113230765,1,-0.05333333113230765
,academy_3_vs_1_with_keeper,42,collect_rollout,2,0,23,-0.04999999771825969,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04999999771825969,1,-0.04999999771825969
,academy_3_vs_1_with_keeper,42,collect_rollout,3,0,35,0.06131648819427937,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.06131648819427937,1,0.06131648819427937
,academy_3_vs_1_with_keeper,42,collect_rollout,4,0,21,-0.06999999727122486,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.06999999727122486,1,-0.06999999727122486
,academy_3_vs_1_with_keeper,42,collect_rollout,5,0,52,-0.12333332793787122,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.12333332793787122,1,-0.12333332793787122
,academy_3_vs_1_with_keeper,42,collect_rollout,6,0,17,-0.026666665449738503,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.026666665449738503,1,-0.026666665449738503
,academy_3_vs_1_with_keeper,42,collect_rollout,7,0,18,-0.04333333158865571,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04333333158865571,1,-0.04333333158865571
,academy_3_vs_1_with_keeper,42,collect_rollout,8,0,18,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,42,collect_rollout,9,0,15,-0.04666666453704238,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04666666453704238,1,-0.04666666453704238
,academy_3_vs_1_with_keeper,42,collect_rollout,10,0,19,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
,academy_3_vs_1_with_keeper,42,collect_rollout,11,0,18,-0.04333333135582507,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04333333135582507,1,-0.04333333135582507
,academy_3_vs_1_with_keeper,42,collect_rollout,12,0,20,-0.04333333135582507,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04333333135582507,1,-0.04333333135582507
,academy_3_vs_1_with_keeper,42,collect_rollout,13,0,18,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,42,collect_rollout,14,0,19,-0.03666666499339044,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03666666499339044,1,-0.03666666499339044
,academy_3_vs_1_with_keeper,42,collect_rollout,15,0,62,-0.1308329866733402,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.1308329866733402,1,-0.1308329866733402
,academy_3_vs_1_with_keeper,42,collect_rollout,16,0,17,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,42,collect_rollout,17,0,21,-0.026666665449738503,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.026666665449738503,1,-0.026666665449738503
,academy_3_vs_1_with_keeper,42,collect_rollout,18,0,50,-0.11999999452382326,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.11999999452382326,1,-0.11999999452382326
,academy_3_vs_1_with_keeper,42,collect_rollout,19,0,22,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,42,collect_rollout,20,0,15,-0.039999998174607754,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.039999998174607754,1,-0.039999998174607754
,academy_3_vs_1_with_keeper,42,collect_rollout,21,0,21,-0.04666666453704238,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04666666453704238,1,-0.04666666453704238
,academy_3_vs_1_with_keeper,42,collect_rollout,22,0,21,-0.04333333135582507,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04333333135582507,1,-0.04333333135582507
