action_family,n,advantage_mean,advantage_std,old_logprob_mean,ratio_mean,clip_fraction,logit_grad_norm_mean
TACKLE,5,0.2776126354932785,0.15572479704598907,-2.8720067501068116,0.9544158232811663,0.0,0.00035287978244014084
PASS,8,0.1390640481840819,0.09342334955425381,-2.7155045568943024,1.0010619565127938,0.0,0.0013037212547715171
SHOT,2,0.47183457016944885,0.11305925250053406,-3.1513911485671997,1.022428012685725,0.0,0.00019472940766718239
MOVE,6324,0.020814880668323345,0.20274272467180343,-2.1289831551097,1.0081087493266865,0.03969006957621758,0.021991919824508342
IDLE,825,0.030065989276450693,0.19372664096051384,-2.0943714758844085,0.9426851589531952,0.0,0.01458092499524355
OTHER,72,0.15704886014443925,0.1031550007464904,-2.4831131067540912,1.0171637278284036,0.0,0.0015847034879293966
